region,mapped_ift_class,squares,bulk_up_forecast,z3,forecast_area,reference_area,parcel_area_tot,r,group1,group2,group3,group,ownership,country
ES,WOODLANDEDGE,274,92047.513536,806392.26762,98896.63,65055.20129,86.739586219,0.9307446931,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Scotland
SS,BROADLEAF,315,4846.3030574,244114.91676,56992.45,70800.44827,152.91666744,0.0850341239,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Scotland
SS,CONIFER,703,3806.1133422,280272.88695,125371.96,194901.8962,477.762596,0.0303585693,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Scotland
SS,TRANSITION,521,3952.7937897,79604.68162,85993.08,62580.20955,348.24214474,0.0459664172,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Scotland
SS,UNCERTAIN,71,10134.242641,773929.95823,18275.59,30014.0115,22.061223715,0.5545234184,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Scotland
SS,WOODLANDEDGE,658,231361.89478,3735092.9514,251424.78,162710.0365,226.1750244,0.9202032305,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Scotland
W,BROADLEAF,749,0,0,113990.83,133441.303,387.92906335,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Wales
W,CONIFER,429,0,0,44675.71,82735.4511,218.52211431,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Wales
W,TRANSITION,232,0,0,26019.3,25594.0205,122.4109292,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Wales
W,UNCERTAIN,29,0,0,5102.65,8525.069195,8.8320927813,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Wales
W,WOODLANDEDGE,912,0,0,286660.32,163474.3229,340.02605924,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Wales
NWE,BROADLEAF,311,0,0,61104.31,67309.59888,169.66990814,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
NWE,CONIFER,149,0,0,18854.42,31505.5017,86.993465701,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
NWE,TRANSITION,88,0,0,12216.42,10852.98518,45.934644503,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
NWE,UNCERTAIN,22,0,0,4200.96,7251.047305,8.8452994186,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
NWE,WOODLANDEDGE,336,0,0,153120.14,77488.74893,120.04368999,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
NEE,BROADLEAF,150,0,0,26515.53,31890.38602,67.374783534,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
NEE,CONIFER,169,0,0,24400.52,34308.65019,99.307222912,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
NEE,TRANSITION,100,0,0,12156.43,12101.49,51.327914027,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
NEE,UNCERTAIN,16,0,0,3568.56,5888.368926,7.8384571356,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
NEE,WOODLANDEDGE,250,0,0,94335.66,50641.70735,103.54498777,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
YHE,BROADLEAF,558,0,0,60734.25,69506.2633,305.82574235,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
YHE,CONIFER,271,0,0,21778.86,34898.54877,142.13623327,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
YHE,TRANSITION,126,0,0,10759.05,10042.25278,61.169973966,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
YHE,UNCERTAIN,22,0,0,3821.46,7491.661141,7.5244254494,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
YHE,WOODLANDEDGE,590,0,0,148961.39,77708.91421,224.81768586,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
WME,BROADLEAF,388,0,0,75722.79,86708.09502,215.40868765,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
WME,CONIFER,161,0,0,18854.4,31236.93778,77.064424006,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
WME,TRANSITION,54,0,0,7831.08,10652.87716,24.251399732,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
WME,UNCERTAIN,22,0,0,3258.14,6083.231562,10.14507628,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
WME,WOODLANDEDGE,349,0,0,168695.38,85140.77408,140.30712984,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
EME,BROADLEAF,325,0,0,60199.35,67273.5194,188.4313733,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
EME,CONIFER,107,0,0,12490.81,20967.62496,51.030115958,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
EME,TRANSITION,54,0,0,8018.99,9407.164557,25.525840469,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
EME,UNCERTAIN,18,0,0,2560.18,7174.322112,6.0055442077,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
EME,WOODLANDEDGE,293,0,0,138613.58,67973.30524,108.34820176,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
SWE,BROADLEAF,864,0,0,158646.14,183571.8366,487.35040987,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,England
